<DATE>,<TIME>,<LAST>,<VOL>
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,50
03/07/20,09:59:50,195.640000000,50
03/07/20,09:59:50,195.640000000,40
03/07/20,09:59:50,195.640000000,20
03/07/20,09:59:50,195.640000000,20
03/07/20,09:59:50,195.640000000,50
03/07/20,09:59:50,195.640000000,30
03/07/20,09:59:50,195.640000000,550
03/07/20,09:59:50,195.640000000,100
03/07/20,09:59:50,195.640000000,150
03/07/20,09:59:50,195.640000000,70
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,500
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,60
03/07/20,09:59:50,195.640000000,1000
03/07/20,09:59:50,195.640000000,20
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,70
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,1530
03/07/20,09:59:50,195.640000000,500
03/07/20,09:59:50,195.640000000,230
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,150
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,40
03/07/20,09:59:50,195.640000000,90
03/07/20,09:59:50,195.640000000,20
03/07/20,09:59:50,195.640000000,2000
03/07/20,09:59:50,195.640000000,2000
03/07/20,09:59:50,195.640000000,50
03/07/20,09:59:50,195.640000000,500
03/07/20,09:59:50,195.640000000,500
03/07/20,09:59:50,195.640000000,1660
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,140
03/07/20,09:59:50,195.640000000,200
03/07/20,09:59:50,195.640000000,30
03/07/20,09:59:50,195.640000000,100
03/07/20,09:59:50,195.640000000,100
03/07/20,09:59:50,195.640000000,100
03/07/20,09:59:50,195.640000000,430
03/07/20,09:59:50,195.640000000,430
03/07/20,09:59:50,195.640000000,10
03/07/20,09:59:50,195.640000000,100
03/07/20,09:59:50,195.640000000,200
03/07/20,09:59:50,195.640000000,500
03/07/20,10:00:00,195.650000000,10
03/07/20,10:00:00,195.650000000,10
03/07/20,10:00:00,195.650000000,10
03/07/20,10:00:01,195.600000000,20
03/07/20,10:00:01,195.600000000,60
03/07/20,10:00:01,195.600000000,20
03/07/20,10:00:01,195.600000000,740
03/07/20,10:00:01,195.560000000,1130
03/07/20,10:00:01,195.560000000,30
03/07/20,10:00:01,195.640000000,2560
03/07/20,10:00:01,195.650000000,28090
03/07/20,10:00:01,195.650000000,430
03/07/20,10:00:01,195.650000000,100
03/07/20,10:00:01,195.650000000,30
03/07/20,10:00:01,195.650000000,100
03/07/20,10:00:01,195.650000000,1700
03/07/20,10:00:01,195.650000000,410
03/07/20,10:00:01,195.650000000,10
03/07/20,10:00:01,195.660000000,10
03/07/20,10:00:01,195.660000000,100
03/07/20,10:00:01,195.670000000,100
03/07/20,10:00:01,195.670000000,890
03/07/20,10:00:01,195.680000000,550
03/07/20,10:00:01,195.680000000,100
03/07/20,10:00:01,195.690000000,100
03/07/20,10:00:01,195.700000000,10
03/07/20,10:00:01,195.700000000,100
03/07/20,10:00:01,195.700000000,5900
03/07/20,10:00:01,195.710000000,10
03/07/20,10:00:01,195.710000000,100
03/07/20,10:00:01,195.720000000,250
03/07/20,10:00:01,195.720000000,100
03/07/20,10:00:01,195.730000000,100
03/07/20,10:00:01,195.730000000,100
03/07/20,10:00:01,195.730000000,100
03/07/20,10:00:01,195.740000000,100
03/07/20,10:00:01,195.740000000,100
03/07/20,10:00:01,195.750000000,60
03/07/20,10:00:01,195.750000000,100
03/07/20,10:00:01,195.750000000,1000
03/07/20,10:00:01,195.760000000,10
03/07/20,10:00:01,195.760000000,590
03/07/20,10:00:01,195.760000000,100
03/07/20,10:00:01,195.770000000,100
03/07/20,10:00:01,195.780000000,100
03/07/20,10:00:01,195.790000000,10
03/07/20,10:00:01,195.790000000,590
03/07/20,10:00:01,195.790000000,100
03/07/20,10:00:01,195.790000000,50
03/07/20,10:00:01,195.800000000,10
03/07/20,10:00:01,195.800000000,590
03/07/20,10:00:01,195.800000000,10
03/07/20,10:00:01,195.800000000,1000
03/07/20,10:00:01,195.810000000,10
03/07/20,10:00:01,195.810000000,590
03/07/20,10:00:01,195.710000000,1390
03/07/20,10:00:01,195.710000000,1390
03/07/20,10:00:01,195.710000000,1390
03/07/20,10:00:01,195.710000000,220
03/07/20,10:00:01,195.810000000,2560
03/07/20,10:00:01,195.820000000,590
03/07/20,10:00:01,195.820000000,10
03/07/20,10:00:01,195.830000000,590
03/07/20,10:00:01,195.830000000,200
03/07/20,10:00:01,195.840000000,590
03/07/20,10:00:01,195.840000000,10
03/07/20,10:00:01,195.840000000,10
03/07/20,10:00:01,195.850000000,10
03/07/20,10:00:01,195.850000000,400
03/07/20,10:00:01,195.850000000,10
03/07/20,10:00:01,195.850000000,590
03/07/20,10:00:01,195.850000000,100
03/07/20,10:00:01,195.850000000,80
03/07/20,10:00:01,195.850000000,3500
03/07/20,10:00:01,195.860000000,10
03/07/20,10:00:01,195.860000000,590
03/07/20,10:00:01,195.860000000,10
03/07/20,10:00:01,195.870000000,10
03/07/20,10:00:01,195.880000000,10
03/07/20,10:00:01,195.880000000,10
03/07/20,10:00:01,195.880000000,20
03/07/20,10:00:01,195.880000000,10
03/07/20,10:00:01,195.880000000,400
03/07/20,10:00:01,195.880000000,3120
03/07/20,10:00:01,195.880000000,5270
03/07/20,10:00:01,195.890000000,10
03/07/20,10:00:01,195.890000000,10
03/07/20,10:00:01,195.890000000,30
03/07/20,10:00:01,195.890000000,20
03/07/20,10:00:01,195.890000000,1500
03/07/20,10:00:01,195.900000000,300
03/07/20,10:00:01,195.900000000,50
03/07/20,10:00:01,195.900000000,300
03/07/20,10:00:01,195.900000000,10
03/07/20,10:00:01,195.900000000,10
03/07/20,10:00:01,195.900000000,100
03/07/20,10:00:01,195.900000000,600
03/07/20,10:00:01,195.900000000,500
03/07/20,10:00:01,195.910000000,2000
03/07/20,10:00:01,195.910000000,10
03/07/20,10:00:01,195.910000000,590
03/07/20,10:00:01,195.910000000,10
03/07/20,10:00:01,195.920000000,10
03/07/20,10:00:01,195.920000000,10
03/07/20,10:00:01,195.910000000,10
03/07/20,10:00:01,195.910000000,10
03/07/20,10:00:01,195.910000000,2800
03/07/20,10:00:01,195.930000000,10
03/07/20,10:00:01,195.940000000,10
03/07/20,10:00:01,195.940000000,10
03/07/20,10:00:01,195.950000000,590
03/07/20,10:00:01,195.950000000,10
03/07/20,10:00:01,195.950000000,30
03/07/20,10:00:01,195.950000000,100
03/07/20,10:00:01,195.950000000,2800
03/07/20,10:00:01,195.960000000,10
03/07/20,10:00:01,195.960000000,60
03/07/20,10:00:01,195.960000000,3060
03/07/20,10:00:01,195.760000000,1500
03/07/20,10:00:01,195.760000000,1710
03/07/20,10:00:01,195.800000000,40
03/07/20,10:00:01,195.800000000,100
03/07/20,10:00:01,195.810000000,100
03/07/20,10:00:01,195.650000000,260
03/07/20,10:00:01,195.590000000,100
03/07/20,10:00:02,195.760000000,1780
03/07/20,10:00:02,195.800000000,2160
03/07/20,10:00:02,195.800000000,10
03/07/20,10:00:02,195.870000000,420
03/07/20,10:00:02,195.540000000,120
03/07/20,10:00:02,195.700000000,100
03/07/20,10:00:02,195.740000000,500
03/07/20,10:00:02,195.750000000,20
03/07/20,10:00:02,195.750000000,1380
03/07/20,10:00:02,195.720000000,100
03/07/20,10:00:02,195.720000000,100
03/07/20,10:00:02,195.720000000,200
03/07/20,10:00:02,195.900000000,10
03/07/20,10:00:02,195.930000000,100
03/07/20,10:00:02,195.950000000,240
03/07/20,10:00:02,195.760000000,100
03/07/20,10:00:02,195.760000000,100
03/07/20,10:00:02,195.760000000,100
03/07/20,10:00:02,195.970000000,2000
03/07/20,10:00:02,195.970000000,1450
03/07/20,10:00:02,195.790000000,20
03/07/20,10:00:02,195.820000000,40
03/07/20,10:00:02,195.770000000,480
03/07/20,10:00:02,195.700000000,300
03/07/20,10:00:02,195.830000000,20
03/07/20,10:00:02,195.900000000,450
03/07/20,10:00:02,195.920000000,1530
03/07/20,10:00:03,195.740000000,300
03/07/20,10:00:03,195.750000000,500
03/07/20,10:00:03,195.900000000,10
03/07/20,10:00:03,195.920000000,300
03/07/20,10:00:03,195.960000000,160
03/07/20,10:00:03,195.960000000,1340
03/07/20,10:00:03,195.970000000,190
03/07/20,10:00:03,195.960000000,70
03/07/20,10:00:03,195.740000000,10
03/07/20,10:00:03,195.960000000,430
03/07/20,10:00:03,195.970000000,50
03/07/20,10:00:03,195.740000000,1000
03/07/20,10:00:03,195.730000000,150
03/07/20,10:00:03,195.790000000,50
03/07/20,10:00:03,195.710000000,50
03/07/20,10:00:03,195.850000000,20
03/07/20,10:00:03,195.920000000,200
03/07/20,10:00:03,195.940000000,10
03/07/20,10:00:03,195.960000000,770
03/07/20,10:00:03,195.960000000,10
03/07/20,10:00:03,195.750000000,500
03/07/20,10:00:03,195.680000000,500
03/07/20,10:00:03,195.740000000,10
03/07/20,10:00:04,195.720000000,60
03/07/20,10:00:04,195.720000000,10
03/07/20,10:00:04,195.960000000,10
03/07/20,10:00:04,195.970000000,220
03/07/20,10:00:04,195.740000000,20
03/07/20,10:00:04,195.970000000,10
03/07/20,10:00:04,195.760000000,30
03/07/20,10:00:04,195.760000000,20
03/07/20,10:00:04,195.730000000,200
03/07/20,10:00:04,195.720000000,10
03/07/20,10:00:04,195.740000000,10
03/07/20,10:00:04,195.730000000,60
03/07/20,10:00:04,195.730000000,30
03/07/20,10:00:04,195.740000000,1000
03/07/20,10:00:05,195.760000000,60
03/07/20,10:00:05,195.760000000,10
03/07/20,10:00:07,195.800000000,400
03/07/20,10:00:07,195.750000000,40
03/07/20,10:00:07,195.750000000,4390
03/07/20,10:00:07,195.730000000,3270
03/07/20,10:00:07,195.740000000,500
03/07/20,10:00:08,195.740000000,1000
03/07/20,10:00:09,195.910000000,10
03/07/20,10:00:10,195.720000000,250
03/07/20,10:00:10,195.740000000,800
03/07/20,10:00:10,195.910000000,30
03/07/20,10:00:10,195.930000000,20
03/07/20,10:00:10,195.940000000,30
03/07/20,10:00:10,195.750000000,800
03/07/20,10:00:10,195.760000000,800
03/07/20,10:00:10,195.780000000,800
03/07/20,10:00:10,195.780000000,200
03/07/20,10:00:10,195.960000000,310
03/07/20,10:00:10,195.950000000,660
03/07/20,10:00:10,195.950000000,50
03/07/20,10:00:10,195.760000000,10
03/07/20,10:00:10,195.920000000,100
03/07/20,10:00:10,195.920000000,100
03/07/20,10:00:10,195.920000000,570
03/07/20,10:00:10,195.760000000,110
03/07/20,10:00:10,195.790000000,470
03/07/20,10:00:10,195.780000000,30
03/07/20,10:00:11,195.750000000,100
03/07/20,10:00:11,195.940000000,460
03/07/20,10:00:11,195.940000000,540
03/07/20,10:00:11,195.960000000,50
03/07/20,10:00:11,195.960000000,20
03/07/20,10:00:11,195.960000000,50
03/07/20,10:00:11,195.960000000,50
03/07/20,10:00:11,195.960000000,50
03/07/20,10:00:11,195.960000000,50
03/07/20,10:00:11,195.960000000,80
03/07/20,10:00:11,195.950000000,20
03/07/20,10:00:11,195.950000000,50
03/07/20,10:00:11,195.950000000,120
03/07/20,10:00:11,195.950000000,50
03/07/20,10:00:11,195.950000000,50
03/07/20,10:00:11,195.950000000,50
03/07/20,10:00:11,195.950000000,20
03/07/20,10:00:11,195.950000000,10
03/07/20,10:00:11,195.800000000,1000
03/07/20,10:00:12,195.910000000,1000
03/07/20,10:00:12,195.910000000,110
03/07/20,10:00:12,195.920000000,300
03/07/20,10:00:12,195.740000000,600
03/07/20,10:00:13,195.780000000,100
03/07/20,10:00:14,195.740000000,100
03/07/20,10:00:14,195.730000000,450
03/07/20,10:00:14,195.750000000,1000
03/07/20,10:00:14,195.760000000,500
03/07/20,10:00:15,195.760000000,390
03/07/20,10:00:15,195.750000000,110
03/07/20,10:00:16,195.750000000,50
03/07/20,10:00:17,195.900000000,10
03/07/20,10:00:18,195.750000000,400
03/07/20,10:00:18,195.750000000,30
03/07/20,10:00:18,195.750000000,150
03/07/20,10:00:18,195.900000000,40
03/07/20,10:00:19,195.750000000,50
03/07/20,10:00:19,195.750000000,100
03/07/20,10:00:19,195.750000000,40
03/07/20,10:00:20,195.750000000,100
03/07/20,10:00:20,195.870000000,50
03/07/20,10:00:21,195.750000000,500
03/07/20,10:00:21,195.750000000,500
03/07/20,10:00:21,195.750000000,1860
